image,question,answer
image2716,What is increased?,weight of the heart
image2717,Is the affected area on right clear-cut?,no
image2717,Is line of demarcation between gangrenous segment and the viable bowel not clear-cut?,no
image2717,"Is the affected part soft, swollen and dark?",yes
image2717,"What is soft, swollen and dark?",the affected part dark
image2717,"Is the interface between viable and non-viable area soft, swollen and dark?",no
image2717,What is not clear-cut?,line of demarcation between gangrenous segment and the viable bowel clear-cut
image2718,Did subsynovial tissue contain a dense lymphoid aggregate?,yes
image2718,What did subsynovial tissue contain?,a dense lymphoid aggregate
image2718,Did confluent necrosis contain a dense lymphoid aggregate?,no
image2718,What contains a dense lymphoid aggregate?,subsynovial tissue
image2719,Does pbf show branching papillae having flbrovascular stalk covered by a single layer of cuboidal cells having ground-glass nuclei?,no
image2719,What shows branching papillae having flbrovascular stalk covered by a single layer of cuboidal cells having ground-glass nuclei?,microscopy
image2719,Does microscopy show branching papillae having flbrovascular stalk covered by a single layer of cuboidal cells having ground-glass nuclei?,yes
image2720,Does the subcutaneous tissue show masses or nodules of calcium salt surrounded by foreign body giant cells?,yes
image2720,What shows masses or nodules of calcium salt surrounded by foreign body giant cells?,subcutaneous tissue
image2720,What does the subcutaneous tissue show?,masses or nodules of calcium salt surrounded by foreign body giant cells
image2721,Is Ziehl-Neelsen also partly affected?,no
image2721,What shows coagulative necrosis and submucosal haemorrhages?,mucosa in the infarcted area
image2721,What does the mucosa in the infarcted area show?,coagulative necrosis and submucosal haemorrhages
image2721,Is muscularis also partly affected?,yes
image2721,What is also partly affected?,muscularis
image2721,Does the mucosa in the infarcted area show coagulative necrosis and submucosal haemorrhages?,yes
image2721,Does the apex show coagulative necrosis and submucosal haemorrhages?,no
image2721,What is marked at the line of demarcation between the infarcted and normal bowel?,inflammatory cell infiltration
image2721,Where is inflammatory cell infiltration marked at?,line of demarcation between the infarcted and normal bowel
image2721,Is inflammatory cell infiltration marked at the line of demarcation between the infarcted and normal bowel?,yes
image2721,Is peripheral blood in itp marked at the line of demarcation between the infarcted and normal bowel?,no
image2722,"What is entrapped in a dense,  onion-skin concentric scar?",a bile duct undergoing degeneration
image2722,What is a bile duct undergoing degeneration entrapped in?,a dense
image2722,"Is a nucleolar pattern entrapped in a dense,  onion-skin concentric scar?",no
image2722,"Is a bile duct undergoing degeneration entrapped in a dense,  onion-skin concentric scar?",yes
image2723,Is the pattern of staining of anti-centromere antibodies evident?,no
image2723,Are four-chamber dilation and hypertrophy evident?,yes
image2723,How are four-chamber dilation and hypertrophy?,evident
image2723,What is evident?,four-chamber dilation and hypertrophy 
image2723,How much dilation and hypertrophy are evident?,four
image2724,"Does the wall of the aneurysm removed at autopsy show a unifocal,  massive neoplasm replacing most of the right hepatic lobe in a noncirrhotic liver?",no
image2724,"Does the liver removed at autopsy show a unifocal,  massive neoplasm replacing most of the right hepatic lobe in a noncirrhotic liver?",yes
image2724,What replaced most of the right hepatic lobe in a noncirrhotic liver?,neoplasm
image2724,"What is removed at autopsy showing a unifocal,  massive neoplasm replacing most of the right hepatic lobe in a noncirrhotic liver?",the liver
image2725,Is chematic mechanisms involved in pathogenesis of two main types of diabetes mellitus?,yes
image2725,What is involvedd in pathogenesis of two main types of diabetes mellitus?,chematic mechanisms
image2725,Are numbers in the illustrations involved in pathogenesis of two main types of diabetes mellitus?,no
image2725,What is chematic mechanisms involved in?,pathogenesis of two main types of diabetes mellitus
image2726,Do the nuclei show granular debris?,yes
image2726,Where is the affected area?,on right
image2726,Are the outline of tubules still maintained?,yes
image2726,What shows cells with intensely eosinophilic cytoplasm of tubular cells?,the affected area on right
image2726,What does the affected area on right show?,cells with intensely eosinophilic cytoplasm of tubular cells 
image2726,How does the affected area on right show cells?,with intensely eosinophilic cytoplasm of tubular cells
image2726,Does the affected area on right show cells with intensely eosinophilic cytoplasm of tubular cells?,yes
image2726,What show granular debris?,nuclei
image2726,What do the nuclei show?,granular debris
image2726,Does necrosis show cells with intensely eosinophilic cytoplasm of tubular cells?,no
image2726,What shows non-specific chronic inflammation and proliferating vessels?,the interface between viable non-viable area vessels
image2726,What does the interface between viable and non-viable area show?,non-specific chronic inflammation proliferating vessels
image2726,Does the interface between viable and non-viable area show non-specific chronic inflammation and proliferating vessels?,yes
image2726,Does the affected area on right show non-specific chronic inflammation and proliferating vessels?,no
image2726,Where is the affected area?,on right
image2726,What are still maintained?,the outlines of tubules
image2726,Do the tubular epithelial cells show granular debris?,no
image2727,What show osseous metaplasia in the centre?,whorls composed of smooth muscle cells and fibroblasts
image2727,Do two daughter cells show osseous metaplasia in the centre?,no
image2727,What are the whorls composed of?,smooth muscle cells and fibroblasts
image2727,Do the whorls composed of the smooth muscle cells and fibroblasts show osseous metaplasia in the centre?,yes
image2728,What does the tumour show?,uniform cells having high mitotic rate
image2728,Does the margin of infracted area show uniform cells having high mitotic rate?,no
image2728,Does the tumour show uniform cells having high mitotic rate?,yes
image2728,What shows uniform cells having high mitotic rate?,the tumour
image2729,What is involved in the pathogenesis of cardiac oedema?,mechanisms
image2729,What is mechanisms involved in?,oedema
image2729,"Is c, x-ray crystallography and infra-red spectroscopy involved in the pathogenesis of cardiac oedema?",no
image2729,Is mechanisms involved in the pathogenesis of cardiac oedema?,yes
image2730,What is further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?,each fibril
image2730,What is each fibril further composed of?,double helix of two pleated sheets
image2730,Is each fibril further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?,yes
image2730,Is foci of metaplastic squamous epithelium further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?,no
image2730,Is Each fibril further composed of double helix of two pleated sheets in the form of twin filaments separated by a clear space?,yes
image2730,What has a pentagonal or doughnut profile?,p-component
image2730,What does p-component have?,pentagonal or doughnut profile
image2730,Does p-component have a pentagonal or doughnut profile?,yes
image2730,What is further composed of two pleated sheets in the form of twin filaments separated by a clear space?,each fibril
image2730,"What does c, x-ray crystallography and infra-red spectroscopy show?",fibrils having cross
image2730,"Does c, x-ray crystallography and infra-red spectroscopy show fibrils having cross -- pleated sheet configuration which produces periodicity that gives the characteristic staining properties of amyloid with Congo red and birefringence under polarising mic",yes
image2730,Does these end components of chromosome have a pentagonal or doughnut profile?,no
image2730,Does p-component show fibrils having cross -- pleated sheet configuration which produces periodicity that gives the characteristic staining properties of amyloid with Congo red and birefringence under polarising microscopy?,no
image2731,"What shows well-defined bands of pink,  acellular collagen that have subdivided the tumor cells into nodules?",a low-power view
image2731,"Does a low-power view show well-defined bands of pink,  acellular collagen that have subdivided the tumor cells into nodules?",yes
image2731,"Does some long-lived resident tissue macrophages show well-defined bands of pink,  acellular collagen that have subdivided the tumor cells into nodules?",no
image2732,Are defects in any of the six basophilic granular while the periphery shows healed granulomas?,no
image2732,Are the deposits basophilic granular while the periphery shows healed granulomas?,yes
image2732,What does the periphery show?,healed granulomas
image2732,Does the periphery show healed granulomas?,yes
image2732,Does microscopy show healed granulomas?,no
image2732,What are basophilic granular while the periphery shows healed granulomas?,the deposits
image2732,What shows healed granulomas?,the periphery
image2732,What are the deposits while the periphery shows healed granulomas?,basophilic granular
image2732,What  shows healed granulomas?,the periphery
image2733,Does conventional chondrosarcoma entrap native lamellar bone as a confluent mass of cartilage?,yes
image2733,What entraps native lamellar bone as a confluent mass of cartilage?,conventional chondrosarcoma
image2733,Does the surrounding lung entrap native lamellar bone as a confluent mass of cartilage?,no
image2734,"Are skin stem cells strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",no
image2734,"Are the tumor cells strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",yes
image2734,How are the tumor cells strikingly similar to normal squamous epithelial cells?,with intercellular bridges and nests of keratin (arrow)
image2734,How are the tumor cells?,strikingly similar to normal squamous epithelial cells
image2734,"What are strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",the tumor cells
image2735,Do spurs of epidermal cells migrate along the incised margin on either side as well as around the suture track?,yes
image2735,Does formation of granulation tissue begin from below?,yes
image2735,Does the affected part begin from below?,no
image2735,What at around 7th day results in scar tissue at the sites of incision and suture track?,removal of suture
image2735,Do numbers migrate along the incised margin on either side as well as around the suture track?,no
image2735,Does removal of suture result around 7th day result in scar tissue at the sites of incision and suture track?,yes
image2735,Does c result around 7th day result in scar tissue at the sites of incision and suture track?,no
image2735,What migrate along the incised margin on either side as well as around the suture track?,spurs of epidermal cells
image2735,Are the vesselwall filled with blood clot?,no
image2735,Where is inflammatory response from?,the margins
image2735,Are the incised wound as well as suture track on either side filled with blood clot?,yes
image2735,What are the incised wound as well as suture track on either side filled with?,blood clot
image2735,Is there inflammatory response from the margins?,yes
image2735,When does removal of suture result in?,around 7th day
image2735,Is the alveolar septa inflammatory response from the margins?,no
image2735,What are filled with blood clot?,the open wound
image2736,Are the preserved outlines with loss of nuclei?,yes
image2736,What show preserved outlines with loss of nuclei?,the necrotic cells
image2736,Do skin stem cells show preserved outlines with loss of nuclei?,no
image2736,"Do necrotic cells show preserved outlines with loss of nuclei, and an inflammatory infiltrate is present (difficult to discern at this magnification)?",yes
image2736,Do the necrotic cells show preserved outlines with loss of nuclei?,yes
image2737,"What is characterized by vasodilation, congestion, and edema?",the immediate reaction
image2737,"Is the immediate reaction characterized by an inflammatory infiltrate rich in eosinophils,  neutrophils,  and T cells?",no
image2737,What is the immediate reaction characterized by?,vasodilation
image2738,One cusp has a partial fusion at whose center ?,its
image2739,What appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?,large clusters of fibers
image2739,Do large clusters of fibers appear that all share the same fiber type (fiber type grouping)?,yes
image2739,Do remission of demyelinating disease appear that share the same fiber type (fiber type grouping) ?,no
image2739,What share the same fiber type (fiber type grouping)?,large clusters of fibers
image2739,Do large clusters of fibers appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?,yes
image2739,Do portal tracts and the periportal parenchyma appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?,no
image2739,Under what conditions do clusters of fibers appear that all share the same fiber type?,with ongoing denervation and reinnervation
image2740,Does the inner circle shown with green line show a grey white firm tumour extending irregularly into adjacent breast parenchyma?,no
image2740,What does Cut surface show?,a grey white firm tumour extending irregularly into adjacent breast parenchyma
image2740,What shows a grey white firm tumour extending irregularly into adjacent breast parenchyma?,cut surface
image2740,"Does 2,3-bpg and co2 show a tumour extending up to nipple and areola?",no
image2740,Does the breast show a tumour extending up to nipple and areola?,yes
image2740,What does the breast show?,a tumour extending up to nipple and areola
image2740,What shows a tumour extending up to nipple and areola?,breast
image2740,Does Cut surface show a grey white firm tumour extending irregularly into adjacent breast parenchyma?,yes
image2741,Is Ewing sarcoma composed of sheets of small round cells with small amounts of clear cytoplasm?,yes
image2741,How is Ewing sarcoma composed of sheets of small round cells?,with small amounts of clear cytoplasm
image2741,What is Ewing sarcoma composed of?,sheets of small round cells with small amounts of clear cytoplasm
image2741,What is composed of sheets of small round cells with small amounts of clear cytoplasm?,ewing sarcoma
image2741,Is a liver composed of sheets of small round cells with small amounts of clear cytoplasm?,no
image2742,What is there?,subepithelial and subserosal fibrosis and hypertrophy of muscularis
image2742,Is the lesion penetration of epithelium-lined spaces into the gallbladder wall in an area?,no
image2742,Is there penetration of epithelium-lined spaces into the gallbladder wall in an area?,yes
image2742,Is approximately 50 % of the soft tissue of the bone subepithelial and subserosal fibrosis and hypertrophy of muscularis?,no
image2742,Where is mononuclear inflammatory cell infiltrate present?,in subepithelial and perimuscular layers
image2742,Is mononuclear inflammatory cell infiltrate present in subepithelial and perimuscular layers?,yes
image2742,Is iron on absorption from upper small intestine present in subepithelial and perimuscular layers?,no
image2742,Is there subepithelial and subserosal fibrosis and hypertrophy of muscularis?,yes
image2742,What is present in subepithelial and perimuscular layers?,mononuclear inflammatory cell infiltrate
image2742,What is there of epithelium-lined spaces into the gallbladder wall in an area?,penetration
image2743,"Is the arteriolar wall surrounded by eosinophils,  lymphocytes,  and histiocytes?",no
image2743,"Is a diagnostic,  binucleate Reed-Sternberg cell surrounded by eosinophils,  lymphocytes,  and histiocytes?",yes
image2743,"What is a diagnostic,  binucleate Reed-Sternberg cell surrounded by?",eosinophils
image2743,"What is surrounded by eosinophils,  lymphocytes,  and histiocytes?",a diagnostic
image2744,What shows the morphologic variant of RS cell seen more often in particular histologic type?,the inset on right side of each type
image2744,Does the inset on right side of each type show the morphologic variant of RS cell seen more often in particular histologic type?,yes
image2744,What does the inset on right side of each type show?,the morphologic variant of rs cell seen more often in particular histologic type
image2745,Are a few abortive tubules and poorlyformed glomerular structures present in it?,yes
image2745,Is infarcted area predominance of small round to spindled sarcomatoid tumour cells?,no
image2745,Is there predominance of small round to spindled sarcomatoid tumour cells?,yes
image2745,What is there of small round to spindled sarcomatoid tumour cells?,predominance 
image2745,Is diagrammatic representation of pathologic changes in chronic hepatitis present in it?,no
image2746,Is this condition cystic hygroma?,yes
image2746,"Are the light green polypeptides characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",no
image2746,"Are cystic hygromas characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",yes
image2746,"What are cystic hygromas characteristically seen with,  but not limited to?",constitutional chromosomal anomalies such as 45
image2746,Has a nucleolar pattern been termed cystic hygroma?,no
image2746,"What are characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",cystic hygromas
image2746,What has this condition been termed?,cystic hygroma
image2746,What has been termed cystic hygroma?,fluid accumulation particularly prominent in the soft tissues of the neck
image2747,What does infarcted area show?,ghostal veoli filled with blood
image2747,Does the necrosed area on right side of the field show ghostal veoli filled with blood?,no
image2747,Does infarcted area show ghostal veoli filled with blood?,yes
image2747,What shows ghostal veoli filled with blood?,infarcted area
image2748,Are the areas of white chalky deposits shown?,no
image2748,What are shown?,apoptotic cells in colonic epithelium
image2748,Are apoptotic cells in colonic epithelium shown?,yes
image2749,Is there moderate microcytosis and hypochromia?,yes
image2749,Does the background aspirate show micronormoblastic erythropoiesis?,no
image2749,Does examination of bone marrow aspirate show micronormoblastic erythropoiesis?,yes
image2749,What aspirate shows micronormoblastic erythropoiesis?,examination of bone marrow
image2749,Is infarcted area moderate microcytosis and hypochromia?,no
image2749,What is there?,moderate microcytosis and hypochromia
image2750,Is part of the vessel uninvolved?,yes
image2750,Is mycobacterium avium infection in a duodenal biopsy from a patient with aids uninvolved?,no
image2751,"Did the high-power view of the junction of the fibrous cap and core show scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",yes
image2751,What did high-power view of the junction of the fibrous cap and core show?,scattered inflammatory cells
image2751,"What shows scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",high-power view of the junction of the fibrous cap and core
image2751,"Did the cause of reversible injury show scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",no
image2752,What are illustrated?,the cellular alterations in apoptosis are illustrated
image2752,Are the cellular alterations in apoptosis illustrated?,yes
image2752,Are methylation of particular histone residues illustrated?,no
image2753,"What is consistented with the blastemal component and interspersed primitive tubules,  representing the epithelial component?",wilms tumor with tightly packed blue cells
image2753,What is the Wilms tumor with tightly packed blue cells consistent with?,the blastemal component and interspersed primitive tubules
image2753,"Is wilms tumor with tightly packed blue cells consistented with the blastemal component and intersperse primitive tubules,  representing the epithelial component?",yes
image2753,"Does large,  flat cells with small nuclei intersperse primitive tubules,  represent the epithelial component?",no
image2754,Are the spores present in sporangia as well as are intermingled in the inflammatory cell infiltrate?,yes
image2754,What are the spores present in?,sporangia as well as intermingled in the inflammatory cell infiltrate
image2754,What are present in sporangia as well as are intermingled in the inflammatory cell infiltrate?,spores
image2755,"What shows mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",membranoproliferative glomerulonephritis (mpgn)
image2755,"Did predominance of blastemal morphology and diffuse anaplasia show mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",no
image2755,"Did membranoproliferative glomerulonephritis (MPGN) show mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",yes
image2756,Do nonfunctioning adenomas tend to be larger at the time of diagnosis than those that secrete a hormone?,yes
image2756,What do nonfunctioning adenomas tend to be?,larger at the time of diagnosis than those that secrete hormone
image2756,Do adenocarcinoma of the prostate demonstrating small glands tend to be larger at the time of diagnosis than those that secrete a hormone?,no
image2756,What tend to be larger at the time of diagnosis than those that secrete a hormone?,nonfunctioning adenomas
image2757,Does electron microscopy show dark tan firm areas with base on the pleura?,no
image2757,Does the sectioned surface show dark tan firm areas with base on the pleura?,yes
image2757,How does the sectioned surface show dark tan firm areas?,with base on the pleura
image2757,What shows dark tan firm areas with base on the pleura?,the sectioned surface
image2757,What is the color of the firm areas with base on the pleura?,dark tan
image2757,What does the sectioned surface show with?,base on the pleura
image2758,Does onsumption of tobacco in india protrude?,no
image2758,Does the basement membrane material protrude?,yes
image2759,Was a gravid uterus removed for postpartum bleeding?,yes
image2759,Was the injurious stimulus removed for postpartum bleeding?,no
image2759,What was a gravid uterus removed for?,postpartum bleeding
image2759,What was removed for postpartum bleeding?,a gravid uterus
image2760,"Is predominance of blastemal morphology and diffuse anaplasia characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?",no
image2760,"Is proliferative breast disease characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?",yes
image2760,What is proliferative breast disease characterized by?,an increased numbers of epithelial cells
image2760,"What is characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?",proliferative breast disease
image2761,"How is the number there of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?",large
image2761,"Are the periphery large number of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?",no
image2761,"Are there large number of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?",yes
image2762,Are the cytoplasm normocellular?,no
image2762,Are glomeruli normocellular?,yes
image2762,What are normocellular?,glomeruli
image2762,Are layers of squamous epithelium diffusely thickened due to duplication of the GBM?,no
image2762,Are the capillary walls diffusely thickened due to duplication of the GBM?,yes
image2762,What are the capillary walls diffusely thickened due to?,duplication of the gbm
image2762,What are diffusely thickened due to duplication of the GBM?,capillary walls
image2763,"What was present within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",focal anaplasia
image2763,"What was present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis (center of field)?",focal anaplasia
image2763,"Was the extensive subcutaneous fibrosis present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",no
image2763,What are associated with specific molecular lesions?,predominance of blastemal morphology and diffuse anaplasia
image2763,What are predominance of blastemal morphology and diffuse anaplasia associated with?,specific molecular lesions
image2763,Are FISH using a fluorescein-labeled cosmid probe for n-myc on a tissue section containing neuroblastoma associated with specific molecular lesions?,no
image2763,Are predominance of blastemal morphology and diffuse anaplasia associated with specific molecular lesions ?,yes
image2763,"Was focal anaplasia present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",yes
image2764,What do peripheral blood film show?,marked neutrophilic leucocytosis accompanied with late precursors of myeloid series
image2764,What is accompanied with late precursors of myeloid series?,peripheral blood film showing marked neutrophilic leucocytosis
image2764,Are the mature red cells higher as demonstrated by this cytochemical stain?,no
image2764,What is higher as demonstrated by this cytochemical stain?,neutrophil (or leucocyte) alkaline phosphatase (nap or lap) activity
image2765,What are many thick-walled dilated cavities with?,cartilaginous wall
image2765,Is the section of the mitral valve seen?,no
image2765,Are many thick-walled dilated cavities with cartilaginous wall seen?,yes
image2765,What are seen?,thick-walled dilated cavities with cartilaginous wall
image2766,Are two daughter cells distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,no
image2766,Are the tubular epithelial cells distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,yes
image2766,What are the tubular epithelial cells distended with?,cytoplasmic vacuoles
image2766,What is compressed?,interstitial vasculature
image2766,Are the nuclei of affected tubules pale?,yes
image2766,What are pale?,the nuclei of affected tubules
image2766,Is the interstitial vasculature compressed?,yes
image2766,Are equence of events in the pathogenesis of reversible and irreversible cell injury pale?,no
image2766,What are distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?,tubular epithelial cells is compressed
image2767,Is the polyp derived from calcitonin molecules secreted by the neoplastic cells?,no
image2767,"Do these tumors contain amyloid,  visible here as homogeneous extracellular material,  derived from calcitonin molecules secreted by the neoplastic cells?",yes
image2767,What do these tumors contain?,amyloid derived from calcitonin molecules secreted by the neoplastic cells
image2767,What is derived from calcitonin molecules secreted by the neoplastic cells?,amyloid
image2767,"Do acute epididymitis contain amyloid,  visible here as homogeneous extracellular material,  derived from calcitonin molecules secreted by the neoplastic cells?",no
image2767,What contain amyloid derived from calcitonin molecules secreted by the neoplastic cells?,medullary carcinoma tumors
image2767,Is amyloid derived from calcitonin molecules secreted by the neoplastic cells?,yes
image2768,What is there in the number of layers of epithelium?,increase
image2768,Is there increase in the number of layers of epithelium?,yes
image2768,Is the heart increased in the number of layers of epithelium?,no
image2768,What are the cells still recognisable as?,of transitional origin and show features of anaplasia
image2768,Are the cells still recognisable as of transitional origin and show features of anaplasia?,yes
image2768,"Are uclear features of malignant cells in malignant melanoma-pleomorphism, anisonucleosis, still recognisable as of transitional origin and show features of anaplasia?",no
image2768,What are still recognisable as of transitional origin and show features of anaplasia?,cells
image2769,Is the aorta with mild atherosclerosis composed of fibrous plaques?,yes
image2769,What is composed of fibrous plaques?,aorta with mild atherosclerosis
image2769,What is aorta with mild atherosclerosis composed of?,fibrous plaques
image2770,What shows presence of loculi containing gelatinous mucoid material?,the cyst wall
image2770,Does rest of the hepatic parenchyma in the upper part of the picture show presence of loculi containing gelatinous mucoid material?,no
image2770,Does the cyst wall show presence of loculi containing gelatinous mucoid material?,yes
image2770,What does the cyst wall show?,presence of loculi containing gelatinous mucoid material
image2770,What shows a very large multilocular cyst without papillae?,cut surface
image2770,Does the anorectal margin show a very large multilocular cyst without papillae?,no
image2770,Does cut surface show a very large multilocular cyst without papillae?,yes
image2770,What does cut surface show without papillae?,a very large multilocular cyst
image2771,What shows a circumferential bright pink area of necrosis with protein deposition and inflammation?,the wall of the artery
image2771,What does the wall of the artery show with protein deposition and inflammation?,a circumferential bright pink area of necrosis
image2771,How does the wall of the artery show a circumferential bright pink area of necrosis?,with protein deposition and inflammation
image2771,Does the wall of the artery show a circumferential bright pink area of necrosis with protein deposition and inflammation?,yes
image2772,Does the smear show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?,yes
image2772,What shows koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?,the smear
image2772,What does the smear show?,koilocytes having abundant vacuolated cytoplasm and nuclear enlargement  
image2772,Does electron microscopy show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?,no
image2773,Is the wall of the aneurysm a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,no
image2773,What is a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,glioblastoma
image2773,Is glioblastoma a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,yes
image2773,What is glioblastoma?,a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone
image2774,Where is acute inflammatory infiltrate at?,the periphery of the infarct
image2774,Is the deposition acute inflammatory infiltrate at the periphery of the infarct?,no
image2774,Is there acute inflammatory infiltrate at the periphery of the infarct?,yes
image2774,What is there at the periphery of the infarct?,acute inflammatory
image2774,Does sequence of events in the pathogenesis of reversible and irreversible cell injury show typical coagulative necrosis ie?,no
image2774,What show typical coagulative necrosis?,renal tubules and glomeruli
image2774,What do renal tubules and glomeruli show?,typical coagulative necrosis
image2774,Do renal tubules and glomeruli show typical coagulative necrosis?,yes
image2775,"What remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",a few areas of pale squamous mucosa
image2775,What do only a few areas of pale squamous mucosa remain within?,the predominantly metaplastic
image2775,"Do only a few areas of pale squamous mucosa remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",yes
image2775,"Do the areas of white chalky deposits remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",no
image2776,What contain abundant pink colloid within their lumina?,the hyperplastic follicles
image2776,Do the hyperplastic follicles contain abundant pink colloid within their lumina?,yes
image2776,What do the hyperplastic follicles contain?,abundant pink colloid within their lumina
image2776,The hyperplastic follicles contain abundant pink colloid within whose lumina ?,their
image2776,Do histologic features of the chancre contain abundant pink colloid within their lumina?,no
image2777,What compress the urethra into a slitlike lumen?,well-defined nodules
image2777,What do well-defined nodules compress?,the urethra into a slitlike lumen
image2777,Do the histone subunits compress the urethra into a slitlike lumen?,no
image2777,Do well-defined nodules compress the urethra into a slitlike lumen?,yes
image2778,Does the wedge-shaped infarct result in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?,no
image2778,What lose their cell membrane further during passage through the spleen?,these rigid spherical cells
image2778,What do these rigid spherical cells lose?,their cell membrane further during passage through the spleen
image2778,Do these rigid spherical cells lose their cell membrane further during passage through the spleen?,yes
image2778,Do m phase lose their cell membrane further during passage through the spleen?,no
image2778,Does bdominal fat aspirate stained with congo red produce a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?,no
image2778,Does this produce a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?,yes
image2778,What does this produce?,a circulating subpopulation of hyperspheroidal spherocytes
image2778,Does this result in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?,yes
image2778,What produces a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?,this
image2778,Do left side lose their cell membrane further during passage through the spleen?,no
image2778,What results in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?,this
image2778,D lose whose cell membrane further during passage through the spleen?,their
image2778,"Do mutations in membrane proteins-alpha-spectrin, beta-spectrin and ankyrin, result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?",yes
image2778,What result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?,mutations in membrane proteins-alpha-spectrin
image2778,These rigid spherical cells lose whose cell membrane further during passage through the spleen?,their
image2778,When do these rigid spherical cells lose their cell membrane further?,during passage through the spleen
image2778,When do d lose their cell membrane further?,during passage through the spleen
image2778,When do these rigid spherical cells lose their cell membrane further?,during passage through the spleen
image2778,Do these end components of chromosome result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?,no
image2779,How is acute epididymitis caused?,by gonococcal infection
image2779,Is acute epididymitis caused by gonococcal infection?,yes
image2779,Is bowing of legs caused by gonococcal infection?,no
image2779,What is involved by an abscess?,the epididymis
image2779,What is caused by gonococcal infection?,acute epididymitis
image2779,Is normal testis seen on the right?,yes
image2779,Where is normal testis seen?,on the right
image2779,What is seen on the right?,normal testis
image2779,Is this in turn involved by an abscess?,no
image2779,Is the epididymis involved by an abscess?,yes
image2779,What is acute epididymitis caused by?,gonococcal infection
image2779,Is the irreversible injury seen on the right?,no
image2780,Is classification of chromosomes base on size and location of centromere?,yes
image2780,What is classification of chromosomes based on?,size and location centromere
image2780,What is based on size and location of centromere?,classification chromosomes 
image2780,Is the serial numbers in the figure base on size and location of centromere?,no
image2781,The hyperplastic follicles contain abundant pink colloid within whose lumina ?,their
